Player,FantPos,Age,G,Fmb,PPR,VBD,ID
Patrick Mahomes*+,QB,27,17,5,417.4,136,MahoPa00
Josh Jacobs*+,RB,24,17,3,328.3,127,JacoJo01
Christian McCaffrey*,RB,26,17,1,356.4,123,McCaCh01
Derrick Henry*,RB,28,16,6,302.8,122,HenrDe00
Justin Jefferson*+,WR,23,17,0,368.7,119,JeffJu00
Austin Ekeler,RB,27,17,5,372.7,118,EkelAu00
Josh Allen*,QB,26,16,13,395.5,117,AlleJo02
Davante Adams*+,WR,30,17,1,335.5,114,AdamDa01
Travis Kelce*+,TE,33,17,1,316.3,114,KelcTr00
Nick Chubb*,RB,27,17,1,281.4,107,ChubNi00
Tyreek Hill*+,WR,28,17,1,347.2,107,HillTy00
Jalen Hurts*,QB,24,15,9,378.0,100,HurtJa00
A.J. Brown*,WR,25,17,2,299.6,91,BrowAJ00
Stefon Diggs*,WR,29,16,1,316.6,89,DiggSt00
Saquon Barkley*,RB,25,16,1,284.0,82,BarkSa00
CeeDee Lamb*,WR,23,17,0,301.6,75,LambCe00
Joe Burrow*,QB,26,16,6,350.7,74,BurrJo01
Jamaal Williams,RB,27,17,3,225.9,69,WillJa06
Jaylen Waddle,WR,24,17,1,259.2,66,WaddJa00
Tony Pollard*,RB,25,16,0,248.8,65,PollTo00
Dalvin Cook*,RB,27,17,4,237.8,55,CookDa01
Miles Sanders*,RB,25,17,2,216.7,53,SandMi01
George Kittle*,TE,29,15,1,200.5,52,KittGe00
Amari Cooper,WR,28,17,0,246.0,50,CoopAm00
Taysom Hill,TE,32,16,2,145.8,49,HillTa00
Aaron Jones,RB,28,17,5,248.6,46,JoneAa00
Amon-Ra St. Brown*,WR,23,16,0,267.6,44,StxxAm00
DeVonta Smith,WR,24,17,1,254.6,42,SmitDe07
T.J. Hockenson*,TE,25,17,1,215.4,42,HockTJ00
Christian Kirk,WR,26,17,1,241.9,41,KirkCh01
Najee Harris,RB,24,17,3,223.5,40,HarrNa00
Ja'Marr Chase*,WR,22,12,2,242.4,38,ChasJa00
Rhamondre Stevenson,RB,24,17,4,249.1,37,StevRh00
Joe Mixon,RB,26,14,0,239.5,37,MixoJo00
Tyler Lockett,WR,30,16,2,237.3,37,LockTy00
Terry McLaurin*,WR,27,17,1,229.0,35,McLaTe00
Kenneth Walker III,RB,22,15,0,202.5,33,WalkKe00
Brandon Aiyuk,WR,24,17,1,227.8,33,AiyuBr00
Mike Evans,WR,29,15,0,225.4,32,EvanMi00
Geno Smith*,QB,32,17,8,303.9,30,SmitGe00
Tee Higgins,WR,23,16,0,220.9,30,HiggTe00
